증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
"코스닥, 투자주의환기종목",  에이루트  ,096690,컴퓨터 및 주변장치 제조업,"POS프린터, Mobile프린터, Label프린터",2010-12-01,12월,서문동..,http://www.aroot.co.kr,경기도
유가증권,  엘브이엠씨 ,CYM080,자동차 판매업,지주회사,2010-11-30,12월,오세영..,http://www.lvmcholdings.net,케이맨 제도
코스닥,  티비씨 ,033830,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",2010-11-29,12월,박석현,http://www.tbc.co.kr,대구광역시
코스닥,  시그네틱스 ,033170,반도체 제조업,반도체 패키징,2010-11-26,12월,송영희,http://www.signetics.com,경기도
코스닥,  한국전자인증 ,041460,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공",2010-11-19,12월,신홍식,http://www.crosscert.com,서울특별시
코스닥,  BGF에코머티리얼즈 ,126600,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,홍정혁,http://www.bgfecomaterials.com,경기도
코스닥,  디케이락 ,105740,일반 목적용 기계 제조업,계장용 피팅 및 밸브,2010-11-12,12월,노은식,http://ddd.dklok.com,경상남도
코스닥,  위메이드플레이 ,123420,소프트웨어 개발 및 공급업,모바일게임,2010-11-10,12월,이호대,http://corp.wemadeplay.com,경기도
"코스닥, 관리종목, 투자주의환기종목",  KH 미래물산   ,111870,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드",2010-11-05,12월,배보성,http://www.esambon.com,경기도
코스닥,  아나패스 ,123860,반도체 제조업,Timing Controller(TCON) ,2010-11-05,12월,이경호,http://www.anapass.com,서울특별시
코스닥,  KNN ,058400,텔레비전 방송업,방송프로그램 제작 및 송출,2010-11-03,12월,이오상,http://www.knn.co.kr,부산광역시
코스닥,  누리플랜 ,069140,"구조용 금속제품, 탱크 및 증기발생기 제조업","경관조명, 경관시설",2010-10-26,12월,이형기,http://www.nuriplan.com,경기도
코스닥,  아이텍 ,119830,"그외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트,2010-10-26,12월,이장혁,http://www.iteksemi.com,경기도
코스닥,  인화정공 ,101930,선박 및 보트 건조업,선박엔진부품,2010-10-22,12월,이인,http://www.ihpre.co.kr,경상남도
"코스닥, 관리종목, 투자주의환기종목",  셀피글로벌   ,068940,전자부품 제조업,신용카드 및 전자화폐 등,2010-10-19,12월,유기종,http://www.cardnsoft.com,대구광역시
"코스닥, 관리종목, 투자주의환기종목",  뉴온   ,123840,특수 목적용 기계 제조업,진공장비,2010-10-05,12월,이청균..,http://www.vacuum-coater.com,인천광역시
"유가증권, KOSPI200, KRX300",  휠라홀딩스   ,081660,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28,12월,윤근창,http://www.filaholdings.com/kr/main/index.asp,서울특별시
"코스닥, 관리종목",  알파홀딩스  ,117670,반도체 제조업,시스템 반도체 개발,2010-09-17,12월,김종인..,http://www.alpha-holdings.co.kr,경기도
코스닥,  포메탈 ,119500,기타 금속 가공제품 제조업,"자동차,풍력,방위산업,산업기계,농기계등의 단조부품",2010-09-17,12월,오호석,http://www.formetal.co.kr,충청남도
유가증권,  KTcs ,058850,기타 정보 서비스업,전화번호검색 데이타제공/콜센터 운영,2010-09-16,12월,김현수,http://www.ktcs.co.kr,대전광역시
"코스닥, KOSDAQ150",  다원시스  ,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","핵융합 전원장치, 플라즈마 전원장치, 태양광 CVD 전원장치, 산업용 특수정류기",2010-09-14,12월,박선순,http://www.dawonsys.com ,경기도
유가증권,  현대홈쇼핑 ,057050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,2010-09-13,12월,정교선..,http://www.hmall.com,서울특별시
"코스닥, KOSDAQ150, KRX300",  씨젠   ,096530,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",2010-09-10,12월,천종윤..,http://www.seegene.co.kr,서울특별시
코스닥,  와이솔 ,122990,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer ",2010-09-10,12월,김지호,http://www.wisol.co.kr,경기도
코스닥,  하이비젼시스템 ,126700,사진장비 및 광학기기 제조업,카메라모듈 제조검사용 장비,2010-09-10,12월,최 두..,http://www.hyvision.co.kr,경기도
코스닥,  화신정공 ,126640,자동차 신품 부품 제조업,자동차부품,2010-08-31,12월,정 서..,http://hsp.hwashin.co.kr,경상북도
코스닥,  코리아에프티 ,123410,자동차 신품 부품 제조업,"캐니스터,플라스틱필러넥,의장부품",2010-08-27,12월,오원석..,http://www.kftec.com,경기도
유가증권,  도화엔지니어링 ,002150,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",2010-08-12,12월,박승우..,http://www.dohwa.co.kr,서울특별시
코스닥,  엠에스오토텍 ,123040,자동차 신품 부품 제조업,자동차 차체 부품,2010-08-06,12월,김범준..,http://ms-global.com,경상북도
코스닥,  이글루 ,067920,기타 정보 서비스업,"통합보안관리솔루션, 보안관제서비스",2010-08-04,12월,이득춘,http://igloo.co.kr,서울특별시
유가증권,  대성산업 ,128820,연료 소매업,"주요소운영,기계판매 등",2010-07-30,12월,김영대..,http://www.daesung.co.kr,서울특별시
유가증권,  아이마켓코리아 ,122900,상품 종합 도매업,B2B 전자상거래,2010-07-30,12월,남인봉,http://www.imarketkorea.com,서울특별시
"유가증권, KOSPI200, KRX300",  한미약품   ,128940,의약품 제조업,의약품,2010-07-30,12월,박재현,,경기도
"코스닥, 관리종목, 투자주의환기종목",  인터로조   ,119610,의료용 기기 제조업,"콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)",2010-07-28,12월,노시철,http://interojo.com,경기도
코스닥,  하이텍팜 ,106190,기초 의약물질 제조업,주사제용 무균 원료의약품(Sterile Imipenem 외),2010-07-28,12월,김정수,http://www.htpharm.com,충청북도
유가증권,  우진 ,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,2010-07-26,12월,이재상..,http://www.woojininc.com,경기도
유가증권,  무학 ,033920,알코올음료 제조업,소주,2010-07-20,12월,최재호..,http://www.muhak.co.kr,경상남도
코스닥,  에스디시스템 ,121890,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기",2010-07-16,12월,박봉용,http://www.sdsystem.co.kr,경기도
"코스닥, 투자주의환기종목",  알톤  ,123750,그외 기타 운송장비 제조업,전기 및 일반자전거 등,2010-07-02,12월,김신성,http://www.altonsports.co.kr,경기도
코스닥,  유비벨록스 ,089850,소프트웨어 개발 및 공급업,"모바일플랫폼 및 모바일솔루션, 스마트카드 등",2010-06-18,12월,이흥복,http://www.veloxsoft.com,서울특별시
코스닥,  오르비텍 ,046120,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등",2010-06-15,12월,도은성,http://orbitech.co.kr,서울특별시
유가증권,  이연제약 ,102460,의약품 제조업,"항생제,순환기제",2010-06-10,12월,정순옥..,http://reyonpharm.co.kr,서울특별시
"코스닥, 투자경고종목",  엑스큐어  ,070300,소프트웨어 개발 및 공급업,"USIM카드, 금융카드",2010-06-09,12월,정우천,http://www.xcure.co.kr,경기도
코스닥,  투비소프트 ,079970,소프트웨어 개발 및 공급업,"MiPlatform, X Platform",2010-06-01,12월,이경찬..,http://www.tobesoft.com,서울특별시
유가증권,  한국화장품 ,123690,생활용품 도매업,화장품,2010-06-01,12월,이용준,http://www.ihkcos.co.kr,서울특별시
유가증권,  에스제이엠 ,123700,자동차 신품 부품 제조업,자동차및산업용Bellows,2010-05-31,12월,김휘중..,,경기도
코스닥,  인피니트헬스케어 ,071200,소프트웨어 개발 및 공급업,의료영상저장전송시스템(PACS),2010-05-26,12월,홍기태..,http://infinitt.com,서울특별시
코스닥,  서진오토모티브 ,122690,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",2010-05-25,12월,고만윤,http://www.secoautomotive.com,경기도
코스닥,  인지소프트 ,100030,소프트웨어 개발 및 공급업,"금융솔루션,동기화솔루션",2010-05-25,12월,정정기,http://inzisoft.com,서울특별시
유가증권,  HL홀딩스 ,060980,기타 금융업,지주회사 및 경영컨설팅 서비스업,2010-05-19,12월,김광헌..,http://hlholdings.co.kr,경기도
"유가증권, KTOP30, KOSPI200, KRX300",  삼성생명    ,032830,보험업,"생명보험,부동산 임대",2010-05-12,12월,홍원학,http://www.samsunglife.com,서울특별시
유가증권,  신세계푸드 ,031440,음식점업,"단체급식, 식자재유통, 외식",2010-04-29,12월,송현석,http://www.shinsegaefood.com,서울특별시
코스닥,  이스트아시아홀딩스 ,HKG050,기타 금융업,"스포츠화, 스포츠의류",2010-04-23,12월,정강위..,http://www.qiuzhi.com,홍콩
코스닥,  애머릿지 ,USA040,자동차 부품 및 내장품 판매업,인터모달 신생 및 재생타이어,2010-04-21,12월,Tho..,http://ameridgecorp.com,미국
코스닥,  케이씨에스 ,115500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,2010-04-14,12월,김광묵,http://www.kcins.co.kr,경상북도
코스닥,  씨엑스아이 ,CYM060,기타 금융업,건강보조식품,2010-03-31,06월,린진성,,케이맨 제도
코스닥,  HLB테라퓨틱스 ,115450,기타 전문 도매업,"임베디드 GUI 미들웨어 FXUI-2D, FXUI-3D",2010-03-26,12월,안기홍,,경기도
코스닥,  삼기 ,122350,자동차 신품 부품 제조업,자동차부품,2010-03-19,12월,김치환..,http://www.samkee.com,충청남도
"유가증권, KOSPI200, KRX300",  한화생명   ,088350,보험업,생명보험,2010-03-17,12월,여승주,http://www.hanwhalife.com,서울특별시
코스닥,  이미지스 ,115610,반도체 제조업,"터치스크린칩, 햅틱칩",2010-02-26,12월,김정철,http://imagis.co.kr,경기도
유가증권,  조선선재 ,120030,기타 금속 가공제품 제조업,용접재료,2010-02-19,12월,장원영,http://www.chosunwelding.com,경상북도
코스닥,  인포바인 ,115310,전기 통신업,휴대폰인증서보관서비스(UBIKey),2010-02-09,12월,권 성..,http://www.infovine.co.kr,서울특별시
코스닥,  하이소닉 ,106080,전자부품 제조업,휴대폰 카메라용 Auto Focus Actuator,2010-02-09,12월,박용직,http://www.hysonic.com,경기도
코스닥,  모베이스 ,101330,통신 및 방송 장비 제조업,휴대전화 케이스,2010-02-04,12월,손병준..,http://www.mobase.com,경기도
"유가증권, KOSPI200, KRX300",  코오롱인더   ,120110,화학섬유 제조업,"산업자재, 화학, 필름",2010-02-01,12월,김영범..,http://www.kolonindustries.com/,서울특별시
유가증권,  KC코트렐 ,119650,일반 목적용 기계 제조업,전기집진기 등,2010-01-29,12월,김현수,http://www.kc-cottrell.com/,서울특별시
유가증권,  지역난방공사 ,071320,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",2010-01-29,12월,정용기,http://www.kdhc.co.kr,경기도
유가증권,  락앤락 ,115390,플라스틱제품 제조업,플라스틱 밀폐용기,2010-01-28,12월,이영상,http://www.locknlock.com,경기도
코스닥,  스타플렉스 ,115570,플라스틱제품 제조업,"광고용플렉스(조명용,비조명용)",2010-01-27,12월,김세권,http://www.star-flex.com,충청북도
코스닥,  우리넷 ,115440,통신 및 방송 장비 제조업,"광전송장비(MSPP), 교환장비(AGW)",2010-01-27,12월,김광수..,http://www.woori-net.com,경기도
코스닥,  아세아텍 ,050860,특수 목적용 기계 제조업,"농기계(관리기,SS기, 이앙기) 제조",2010-01-26,06월,김신길..,http://www.asiakor.com,대구광역시
유가증권,  영흥 ,012160,1차 철강 제조업,와이어로프 등,2010-01-25,12월,강근욱..,http://www.youngwire.com,충청남도
코스닥,  폴라리스우노 ,114630,화학섬유 제조업,"PVC가발사, 난연고열사",2010-01-15,12월,최용성,http://www.unon.co.kr,전북특별자치도
코스닥,  코디 ,080530,기타 화학제품 제조업,화장품 및 용기 제조,2010-01-05,12월,김도선,http://www.kodi-s.com,경기도
유가증권,  에스메디 ,118000,기계장비 및 관련 물품 도매업,의료기기 도매,2009-12-30,12월,신범용,,경기도
코스닥,  글로벌에스엠 ,CYM050,기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",2009-12-23,12월,유대희,http://www.globalsmtech.com,케이맨 제도
"코스닥, 관리종목",  ITX-AI  ,099520,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,박상열..,http://www.itxai.com,서울특별시
코스닥,  그린생명과학 ,114450,기초 의약물질 제조업,의약품 중간체 등,2009-12-22,12월,양준화..,http://www.kpxls.com/ ,전라남도
코스닥,  디와이피엔에프 ,104460,일반 목적용 기계 제조업,뉴메틱 컨베잉 시스템(분체이송시스템),2009-12-22,12월,신승대,http://www.dypnf.com,서울특별시
"코스닥, KOSDAQ150, KRX300",  위메이드   ,112040,소프트웨어 개발 및 공급업,"미르의전설2, 미르4",2009-12-18,12월,Par..,http://wemade.com,경기도
"유가증권, KOSPI200, KRX300",  한전기술   ,052690,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,2009-12-14,12월,김성암,http://www.kepco-enc.com,경상북도
"코스닥, KOSDAQ150",  셀바스AI  ,108860,소프트웨어 개발 및 공급업,인공지능 솔루션 등,2009-12-10,12월,곽민철,http://www.selvasai.com,서울특별시
코스닥,  이원컴포텍 ,088290,자동차 신품 부품 제조업, 에어서스펜션 시트/일반고정형 시트/스프링서스펜션 시트 ,2009-12-01,12월,박주성,http://www.ewonseat.co.kr,전북특별자치도
"코스닥, KOSDAQ150",  강원에너지  ,114190,기타 전기장비 제조업,플랜트설비(산업용 보일러),2009-11-20,12월,신진용..,http://kwenergy.co.kr,전북특별자치도
"유가증권, KOSPI200, KRX300",  GKL   ,114090,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,김영산,http://www.grandkorea.com,서울특별시
코스닥,  휴맥스 ,115160,영상 및 음향기기 제조업,셋톱박스,2009-11-16,12월,정성민,http://kr.humaxdigital.com,경기도
코스닥,  AP헬스케어 ,109960,기타 전문 도매업,"모바일게임 퍼블리싱, 바이오의약품 연구개발업 및 판매, 생산설비 및 연구장비의 대여 및 판매",2009-11-13,12월,김정출,http://www.aprogen-hng.com,경기도
"유가증권, KOSPI200, KRX300",  SK   ,034730,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,12월,최태원..,http://www.sk-inc.com/,서울특별시
코스닥,  동방선기 ,099410,선박 및 보트 건조업,"조선기자재, 선박용 배관",2009-11-10,12월,김성욱,http://www.dongbangsm.co.kr,경상남도
코스닥,  KS인더스트리 ,101000,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대",2009-11-06,12월,구창현..,http://sangsangin-industry.co.kr  ,전라남도
코스닥,  진매트릭스 ,109820,자연과학 및 공학 연구개발업,"B형간염치료제 내성진단,C형간염바이러스 유전형진단, 자궁경부암유발바이러스 유전형진단",2009-11-06,12월,김수옥,http://www.genematrix.net,경기도
유가증권,  황금에스티 ,032560,1차 비철금속 제조업,"스테인레스 냉연, 열연",2009-10-29,12월,김종현,http://www.hwangkum.com,경기도
코스닥,  비츠로셀 ,082920,일차전지 및 이차전지 제조업,리튬1차전지,2009-10-28,12월,장승국,http://www.vitzrocell.com,충청남도
"유가증권, KOSPI200, KRX300",  하이트진로   ,000080,알코올음료 제조업,"맥주, 소주",2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시
코스닥,  한스바이오메드 ,042520,의료용품 및 기타 의약 관련제품 제조업,"인체이식용조직(인조피부,인조뼈),의료용시술재료(가슴보형물)",2009-10-09,09월,김근영,http://hansbiomed.com,서울특별시
유가증권,  동양생명 ,082640,보험업,생명보험,2009-10-08,12월,이문구,http://www.myangel.co.kr,서울특별시
코스닥,  NHN벅스 ,104200,소프트웨어 개발 및 공급업,"디지털음원유통, 온라인음악서비스",2009-10-06,12월,왕문주,http://www.bugs.co.kr,서울특별시
코스닥,  아이앤씨 ,052860,반도체 제조업,지상파 DMB용 수신칩(모바일 TV용 SoC),2009-10-06,12월,박창일,http://www.inctech.co.kr,경기도
유가증권,  유니온머티리얼 ,047400,"내화, 비내화 요업제품 제조업","페라이트,세라믹 제조,도매",2009-09-29,12월,김진영..,http://unionmaterials.com,대구광역시
코스닥,  케이엔더블유 ,105330,자동차 신품 부품 제조업,"Blanket, DOF, 보호필름",2009-09-29,12월,박현달,http://www.knwkorea.com,경기도
유가증권,  형지엘리트 ,093240,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",2009-09-28,06월,최병오,http://www.hyungji-elite.com,인천광역시
코스닥,  디에스케이 ,109740,특수 목적용 기계 제조업,"FPD(Flat Panel Display 평판디스플레이)용 Bonding System  및  In-line System, 카메라모듈장비, 이차전지장비, 메카트로닉스 사업군",2009-09-23,12월,김태구..,http://www.dsk.co.kr,경기도
코스닥,  제넥신 ,095700,자연과학 및 공학 연구개발업,항체융합단백질 치료제 및 유전자치료 백신개발,2009-09-15,12월,홍성준,http://genexine.com,서울특별시
코스닥,  톱텍 ,108230,특수 목적용 기계 제조업,디스플레이 자동화설비,2009-09-15,12월,정지용,http://toptec.co.kr,경상북도
코스닥,  동국S&C ,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",Wind-Tower,2009-08-31,12월,이원휘,http://www.dongkuksnc.co.kr,경상북도
코스닥,  에스앤더블류 ,103230,일반 목적용 기계 제조업,"디젤엔진부품, 산업부품, 단조품",2009-08-05,12월,정우진,http://www.snwcorp.com,부산광역시
"유가증권, KOSPI200, KRX300",  키움증권   ,039490,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03,12월,엄주성,http://www.kiwoom.com,서울특별시
"유가증권, KOSPI200, KRX300",  영원무역   ,111770,상품 종합 도매업,스포츠의류,2009-07-30,12월,성기학,,서울특별시
코스닥,  컴투스홀딩스 ,063080,소프트웨어 개발 및 공급업,모바일게임,2009-07-30,12월,정철호,http://www.gamevil.com,서울특별시
코스닥,  동일금속 ,109860,금속 주조업,"크롤러크레인용 트랙슈 어셈블리, 굴삭기용 아이들러 트랙슈 스프링 등",2009-07-28,12월,오길봉,http://www.dongilmetal.co.kr,경상북도
유가증권,  한미글로벌 ,053690,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",2009-06-23,12월,윤요현..,http://www.hanmiparsons.com,서울특별시
유가증권,  동아지질 ,028100,기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리",2009-06-12,12월,박만규..,http://www.dage.co.kr,부산광역시
코스닥,  어보브반도체 ,102120,반도체 제조업,"반도체,전자제품,마이크로컨트롤라",2009-06-05,12월,"최원,..",http://abov.co.kr,충청북도
코스닥,  위메이드맥스 ,101730,소프트웨어 개발 및 공급업,실크로드 온라인,2009-06-03,12월,장현국..,http://www.wemademax.com,경기도
코스닥,  이엔에프테크놀로지 ,102710,기타 화학제품 제조업,LCD/반도체용 케미칼,2009-05-28,12월,지용석..,http://www.enftech.com/,경기도
코스닥,  스맥 ,099440,특수 목적용 기계 제조업,공작기계 및 산업용로봇제조,2009-05-26,12월,최영섭,http://www.esmec.com,경상남도
코스닥,  SDN ,099220,기계장비 및 관련 물품 도매업,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계",2009-05-19,12월,백형근..,http://www.sdn-i.com,경기도
코스닥,  한국정밀기계 ,101680,특수 목적용 기계 제조업,"금속절삭가공기계(수치제어식 수평보링머신,오면가공기,수직선반,플로우보링머신),산업기계(전용기,공작기계부품) 제조,판매",2009-05-19,12월,하종식,http://www.hnkkorea.com,경상남도
유가증권,  STX중공업 ,071970,일반 목적용 기계 제조업,"조선기자재, 기계부품",2009-05-15,12월,최순필,http://www.stxhi.co.kr,경상남도
코스닥,  흥국 ,010240,특수 목적용 기계 제조업,굴삭기 Roller 및 형단조품,2009-05-12,12월,류명준,http://www.heungkuk.co.kr,충청남도
코스닥,  우림피티에스 ,101170,일반 목적용 기계 제조업,"트랜스미션,감속기,기어전동축 제조",2009-04-28,12월,한현석..,http://www.woorimgear.co.kr,경상남도
코스닥,  티플랙스 ,081150,기타 금속 가공제품 제조업,"스텐레스봉,판(열간제품) 제조,도매",2009-04-23,12월,김영국..,http://www.tplex.co.kr,경기도
유가증권,  LX하우시스 ,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20,12월,한명호,http://www.lxhausys.com,서울특별시
코스닥,  에스티오 ,098660,봉제의복 제조업,"셔츠,자켓/바지, 타이",2009-04-17,12월,김흥수,http://www.thesto.kr,서울특별시
코스닥,  에이테크솔루션 ,071670,특수 목적용 기계 제조업,"대형정밀금형(가전,자동차용 등)",2009-04-17,12월,유영목,http://www.atechsolution.co.kr,경기도
"코스닥, KOSDAQ150, KRX300",  에스앤에스텍   ,101490,전자부품 제조업,블랭크마스크,2009-04-14,12월,정수홍,http://www.snstech.co.kr,대구광역시
코스닥,  뷰웍스 ,100120,의료용 기기 제조업,X-Ray Detector,2009-04-10,12월,김후식,http://www.vieworks.com,경기도
코스닥,  코오롱생명과학 ,102940,기초 의약물질 제조업,"항균제, 수처리제, 원료의약 등",2009-04-07,12월,김선진,,서울특별시
코스닥,  엔시트론 ,101400,반도체 제조업,디지털오디오앰프칩,2009-03-31,12월,정인견,http://www.neofidelity.com,서울특별시
"유가증권, KOSPI200, KRX300",  한세실업   ,105630,봉제의복 제조업,의류 완제품,2009-03-20,12월,김익환..,http://www.hansae.com,서울특별시
유가증권,  주성코퍼레이션 ,109070,통신 및 방송 장비 제조업,"ICS중계기, 블랙박스",2009-03-17,12월,허용호,http://www.joosungcorp.com,충청남도
코스닥,  파인테크닉스 ,106240,전구 및 조명장치 제조업,LED조명기기,2009-03-16,12월,김근우,http://www.finetechnix.com,경기도
유가증권,  미원홀딩스 ,107590,기타 금융업,도료첨가제,2009-03-02,12월,김정돈..,,경기도
코스닥,  이수앱지스 ,086890,의료용품 및 기타 의약 관련제품 제조업,"항체치료제,효소치료제",2009-02-03,12월,황엽,http://www.abxis.com,경기도
코스닥,  대성파인텍 ,104040,자동차 신품 부품 제조업,"자동차부품(시트,도어) 제조",2009-01-23,12월,김병준,http://www.dsfinetec.com,경상남도
코스닥,  유비쿼스홀딩스 ,078070,기타 금융업,"지주회사, 자회사관리, 부동산임대",2009-01-23,12월,이상근,http://www.ubiquoss.com,경기도
"코스닥, KOSDAQ150, KRX300",  메디톡스   ,086900,기초 의약물질 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발",2009-01-16,12월,정현호,http://www.medytox.com,충청북도
코스닥,  엠게임 ,058630,소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)",2008-12-19,12월,권이형,http://www.mgamecorp.com,서울특별시
코스닥,  아이컴포넌트 ,059100,전자부품 제조업,액정평판디스플레이용 플라스틱 박판필름 제조업,2008-12-16,12월,김양국,http://www.i-components.co.kr,경기도
"유가증권, KTOP30, KOSPI200, KRX300",  NAVER    ,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,12월,최수연,http://www.navercorp.com,경기도
"코스닥, KOSDAQ150, KRX300",  HLB생명과학   ,067630,의료용품 및 기타 의약 관련제품 제조업,"ESCO 사업, 신재생에너지 사업",2008-11-25,12월,남상우..,http://www.hlb-ls.com,경기도
코스닥,  이크레더블 ,092130,기타 정보 서비스업,"전자신용인증서비스(정보),소프트웨어 개발",2008-10-24,12월,민영창,http://www.ecredible.co.kr,서울특별시
유가증권,  부국철강 ,026940,1차 철강 제조업,철강,2008-10-14,12월,남상규..,http://www.bks.co.kr,광주광역시
"유가증권, KTOP30, KOSPI200, KRX300",  KB금융    ,105560,기타 금융업,-,2008-10-10,12월,양종희,http://www.kbfg.com,서울특별시
코스닥,  세운메디칼 ,100700,의료용품 및 기타 의약 관련제품 제조업,"의료용구(체액배출기,도뇨관) 제조,도매,수출입",2008-09-30,12월,이재희,http://SEWOONMEDICAL.CO.KR,충청남도
유가증권,  한국철강 ,104700,1차 철강 제조업,철근. 단조강. 파이프,2008-09-29,12월,문종인..,http://www.kisco.co.kr,경상남도
코스닥,  마이크로컨텍솔 ,098120,전자부품 제조업,"BGA IC Burn-In Socket,DRAM Module Socket",2008-09-23,12월,양승은,http://www.mcsgroup.co.kr,충청남도
코스닥,  이엠앤아이 ,083470,기초 화학물질 제조업,OLED 유무기 소재 개발 및 판매,2008-09-18,12월,대표이..,http://emni.co.kr,경기도
유가증권,  일진전기 ,103590,절연선 및 케이블 제조업,,2008-08-01,12월,황수 ..,,경기도
"유가증권, KOSPI200, KRX300",  풍산   ,103140,1차 비철금속 제조업,,2008-07-30,12월,"류진,..",http://www.poongsan.co.kr,경기도
"유가증권, KOSPI200, KRX300",  LG이노텍   ,011070,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,문혁수,http://www.lginnotek.co.kr,서울특별시
코스닥,  아이엠 ,101390,전자부품 제조업,휴대폰카메라모듈 등,2008-07-23,12월,김태동,http://www.im2006.com,경기도
코스닥,  웰크론한텍 ,076080,건물 건설업,"에너지절감설비,자동화배합설비,환경설비",2008-07-18,12월,이영규..,http://www.welcronhantec.co.kr,경기도
코스닥,  하이드로리튬 ,101670,"구조용 금속제품, 탱크 및 증기발생기 제조업","영구앵커,교량용케이블,타이케이블",2008-07-15,12월,전  ..,,경기도
코스닥,  슈프리마에이치큐 ,094840,통신 및 방송 장비 제조업,지문인식솔루션및시스템,2008-07-11,12월,이재원,,경기도
유가증권,  명문제약 ,017180,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",2008-07-10,12월,배철한,http://www.mmpharm.co.kr,경기도
코스닥,  서울옥션 ,063170,상품 중개업,미술품경매,2008-07-01,12월,이옥경,,서울특별시
코스닥,  이스트소프트 ,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",2008-07-01,12월,정상원,,서울특별시
유가증권,  비상교육 ,100220,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급",2008-06-30,12월,양태회,http://www.visang.com,경기도
코스닥,  크레버스 ,096240,일반 교습 학원,청담어학원,2008-06-27,12월,이동훈..,http://creverse.com,서울특별시
유가증권,  동성케미컬 ,102260,회사 본부 및 경영 컨설팅 서비스업,,2008-06-23,12월,이만우..,http://idongsung.com,부산광역시
코스닥,  월덱스 ,101160,전자부품 제조업,반도체용링및전극,2008-06-19,12월,배종식,,경상북도
코스닥,  쎄트렉아이 ,099320,"항공기,우주선 및 부품 제조업","인공위성시스템, 위성지상국, 위성부분품 개발 및 제조",2008-06-13,12월,김이을,http://www.satreci.com,대전광역시
유가증권,  쌍방울 ,102280,봉제의복 제조업,,2008-06-10,12월,이형석,http://www.sbw.co.kr,서울특별시
코스닥,  브리지텍 ,064480,소프트웨어 개발 및 공급업,"컨택센터솔루션,BcN솔루션,ASP서비스사업",2008-06-04,12월,신경식,http://www.bridgetec.co.kr,서울특별시
