,title,link,description,bloggername,bloggerlink,postdate
2,금융 서비스 <b>핀테크</b> 산업 보안 인증 솔루션 센스톤 OTAC,https://blog.naver.com/hypoid613/223353808371,이를 우리는 <b>핀테크</b>라고 정의하곤 합니다. Finance + Technology의 합성어로 필자가 처음 사회생활을 시작했던 2015년 당시엔 <b>핀테크</b>라는 단어가 각광받고 센세이셔널한 산업이었는데 이제는 일상생활 속에... ,동동이네 재미난 다락방,blog.naver.com/hypoid613,20240215
3,<b>핀테크</b> 뜻 유래 기업 사례,https://blog.naver.com/toresi/223471507785,"<b>핀테크</b> 하루 1분 금융경제용어 안녕하세요. ^^ 오늘의 경제용어입니다. <b>핀테크</b> 뜻은 무엇인가? <b>핀테크</b>(FinTech) 금융(Finance)과 기술(Technology)의 합성어로, 금융 서비스를 기술적으로 혁신하여 융합하는 것을... ",은행원쀼에게 금융 묻고 더블로,blog.naver.com/toresi,20240607
4,(Grab)의 혁신과정 | 2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단,https://blog.naver.com/iloveimier/223485445140,"안녕하세요 [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단] 운영 사무국입니다. 이번 포스팅에서는 동남아시아에서 널리 사용되는 슈퍼앱 그랩(Grab)의 혁신 과정과, [2024 한경협 싱가포르 <b>핀테크</b> 박람회... ",한경협국제경영원(IMI) 블로그,blog.naver.com/iloveimier,20240620
5,"서울시, <b>핀테크</b>, 가계대출, 신한은행, 대출 금리 인상... ",https://blog.naver.com/angeldia/223521411021,"이끌 <b>핀테크</b> 스타트업 6곳 선정 발표 2024-07-22 13:44:00 SUMMARY : 서울시와 신한은행, 신한카드... INSIGHT : 이 기사는 서울시와 신한금융그룹이 협업하여 <b>핀테크</b> 스타트업을 육성하고 금융 혁신을 촉진하는... ",Fin. cube.,blog.naver.com/angeldia,20240722
6,"서울시, <b>핀테크</b> 전문가 양성에 교육비 전액 지원…디지털금융... ",https://blog.naver.com/economyseoul/223460905936,#<b>핀테크</b> #서울<b>핀테크</b>아카데미 #머신러닝 #빅데이터 #디지털금융 <b>핀테크</b> 분야 인력 양성을 위한 서울<b>핀테크</b>아카데미 10기 교육생을 모집한다고 합니다  선발일정  ▲ 공고 및 접수기간 2024.5.29.(수) 09:00... ,서코노미,blog.naver.com/economyseoul,20240529
7,"선문대, 한국<b>핀테크</b>연합회와 베타 플랫폼 전문가 양성을 위한... ",https://blog.naver.com/sunmoonpr/223513197403,"한국<b>핀테크</b>연합회, 유큐브와 Hyper Go·ABC 메타버스 플랫폼 기반의 전략 자산 인재 양성 및 취·창업... 한국<b>핀테크</b>연합회, 유큐브 외 10개 AI·SW 업체는 10일 선문대에서 콘퍼런스와 협약식을 열고 K... ",선문대학교,blog.naver.com/sunmoonpr,20240715
8,<b>핀테크</b> 기업 종류 뜻 및 서비스와 관련 용어,https://blog.naver.com/possiblehoya/223387198263,"이번 포스팅에서는 우리나라에서 카카오페이, 네이버페이 등으로 유명한 <b>핀테크</b> 기업 종류와 뜻 그리고 관련 서비스와 용어 등에 대해 정리해 보도록 하겠습니다! <b>핀테크</b> 뜻 무엇일까?! <b>핀테크</b>(FinTech)는... ",커피 이코노미스트,blog.naver.com/possiblehoya,20240318
9,"<b>핀테크</b> 관련주 카카오페이 주가 전망, -90% 하락ㄷㄷ",https://blog.naver.com/hoduraki/223519127433,유망한 <b>핀테크</b> 기업이지만 주가는 왜 그럴까 카카오페이 다른 곳에 밀리고 있다 카카오페이는 '카카오톡'을 기반을 하여 사용자를 가장 잘 모을 수 있는 <b>핀테크</b>죠 특히 카톡에서 선물하기를 결제할 때... ,짭식이의 스마트 일상을 그리며..,blog.naver.com/hoduraki,20240720
0,<b>핀테크</b>의 허상과 진실: 은행의 진정한 힘을 알아보자,https://blog.naver.com/ktnbone/223478877973,"<b>핀테크</b>의 허상과 진실: 은행의 진정한 힘을 알아보자 서론: <b>핀테크</b> 혁신의 유혹과 실체 <b>핀테크</b>의 등장으로 금융 혁신의 기치 아래, 은행의 다양한 기능을 분할하여 더 나은 서비스를 제공할 수 있다는 주장이... ",머니 광클,blog.naver.com/ktnbone,20240614
1,[기자단 뉴스] 새로운 <b>핀테크</b>를 제안합니다!,https://blog.naver.com/koreafintech/223514867893,"새로운 <b>핀테크</b>를 제안합니다! 12기 대학생 기자단 이유진 아침에 일어나 스마트폰으로 주식 시장을 확인하고 점심값을 모바일 뱅킹으로 송금하는 등, 이제 <b>핀테크</b>는 우리의 일상 속에 당연한 듯 자리 잡고... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240716
2,[보험사 경쟁자] <b>핀테크</b>에서 빅테크로 성장한 토스의... ,https://blog.naver.com/seer247/223502165025,"지난 글에서는 토스/뱅크샐러드(<b>핀테크</b>/테크핀)에 대해 말씀드렸는데요, 이번 글에서는 <b>핀테크</b>에서 빅테크로 성장한 토스의 법인보험대리점(GA), 토스인슈어런스에 대해 말씀드리고자 합니다. 토스... ",HR 석사의 비즈니스·경제 이야기,blog.naver.com/seer247,20240707
3,"특허등록절차, 어플 시스템 <b>핀테크</b> 등 확실한 보호 TIP",https://blog.naver.com/woocat0204/223448230394,"표제에서 말씀드린 것과 같이 어플, 시스템, <b>핀테크</b> 기술을 확실하게 보호하고 싶다면 어떻게 해야... 어플 시스템 <b>핀테크</b> 기술은 특허권으로 - 요즘 뜨는 기술에 대한 독점권을 확보하고 싶을 때 - 이노비즈... ",[테헤란 특허 비즈니스 센터],blog.naver.com/woocat0204,20240516
4,"어린이경제교실, <b>핀테크</b>란 무엇인가요?",https://blog.naver.com/buzyrun365/223448564319,"어린이경제교실, <b>핀테크</b>란 무엇인가요? 안녕하세요! 청소년 용돈관리 어플 부지런입니다.^^ 과거에는... <b>핀테크</b>(Fintech)? 우리가 사용하는 간편송금이나 오픈뱅킹 등을 <b>핀테크</b>라고 합니다. <b>핀테크</b>란 금융(Finance)... ","부지런한 아이들의 금융 첫걸음, 부지런(BuzyRun)",blog.naver.com/buzyrun365,20240516
5,<b>핀테크</b> 시대 스마트팜의 진화,https://blog.naver.com/jook19931/223520936075,<b>핀테크</b> 시대 스마트팜의 진화 농업 분야에서도 디지털 혁명의 바람이 불고 있습니다. <b>핀테크</b>(Fintech) 시대에 스마트팜은 농업 혁명의 시작을 알리고 있습니다. 스마트팜은 기존의 농업 방식을 혁신하여 생산성을... ,관심 한 조각,blog.naver.com/jook19931,20240722
6,[<b>핀테크</b> 용어사전] #토큰화 (Tokenization),https://blog.naver.com/konagroup/223513269523,IT기업이 알려주는 <b>핀테크</b> 용어 코나아이와 함께 똑똑해져요! 24년 7월 3주 차 이번 주에 소개할 <b>핀테크</b> 용어는 바로! ‘토큰화 (Tokenization)’ 입니다. 토큰화(Tokenization)는 물리적 또는 디지털 자산을 블록체인... ,코나아이 공식 블로그,blog.naver.com/konagroup,20240715
7,<b>핀테크</b> 뜻 및 대표 기업 그리고 장점과 단점,https://blog.naver.com/vhsh1225/223407120940,"편리한 일상 <b>핀테크</b> 우리가 살아가는 일상에서 정말 많은 것을 편리하게 해주는 <b>핀테크</b>는 평소 한 번씩은 들어봤지만, 정확히 무슨 뜻인지 몰라서 궁금해하셨던 분들이 많으실 텐데요. 오늘은 이 <b>핀테크</b>에... ",❤ 네이버 BEST ❤,blog.naver.com/vhsh1225,20240406
8,<b>핀테크</b> 혁신의 최전선_2024 한경협 싱가포르 <b>핀테크</b> 박람회... ,https://blog.naver.com/iloveimier/223452642602,"안녕하세요 [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단] 운영 사무국입니다. <b>핀테크</b> 산업이 빠르게 변화하고 있는 가운데, 2024년은 우리나라에서 정부와 민간이 <b>핀테크</b> 혁신을 위해 공동으로 노력한 지... ",한경협국제경영원(IMI) 블로그,blog.naver.com/iloveimier,20240520
9,"국비지원 부트 캠프 데이터, AI 엔지니어 핀테커스 <b>핀테크</b> 관련... ",https://blog.naver.com/round43581/223510151253,"#<b>핀테크</b> #국비지원부트캠프 2014년 말부터 ‘<b>핀테크</b>’라는 단어가 지면을 뒤덮는다. 인터넷 전문은행, 간편결제, 공인인증서, 액티브X, 천송이 코트, 스타트업 등 <b>핀테크</b>를 둘러싸고 나오는 단어도 너무 많다.... ",세상만사 도깨비,blog.naver.com/round43581,20240712
0,서울 <b>핀테크</b> 위크 2023 컨퍼런스 - 동대문 DDP,https://blog.naver.com/joo1609/223232228599,서울 <b>핀테크</b> 위크 2023 동대문 ddp 아트홀 서울의 디지털금융 도시경쟁력을 높이고 <b>핀테크</b> 산업의 혁신과 발전을 위해 개최되는 서울 <b>핀테크</b> 위크 2023이 동대문 ddp 아트홀에서 개최된다고해서... ,✨️뚜벅이주주 문화여행맛집 이야기,blog.naver.com/joo1609,20231009
1,"[기업 분석] 누 홀딩스, 베일리 기포드가 주목하는 <b>핀테크</b> 기업",https://blog.naver.com/chod46/223445773881,"출처 : 누 홀딩스 누 홀딩스는 브라질에서 시작된 <b>핀테크</b> 기업으로, 누뱅크(NuBank)라는 금융 서비스... <b>핀테크</b> 플랫폼 : 누 홀딩스는 누뱅크 외에도 다양한 <b>핀테크</b> 플랫폼을 운영하고 있습니다. 1) Pix : 브라질의... ",쩡쓰의 재테크 공부방,blog.naver.com/chod46,20240523
2,<b>핀테크</b> 전문가 되어보자!~,https://blog.naver.com/haun0910/223456172997,오늘 제가 <b>핀테크</b> 전문가가 되는 과정에 대해 소개드리려 이렇게 글을 쓰게 되었는데요!~ 먼저 <b>핀테크</b> 전문가가 무엇이며 어디서 어떻게 준비할수있는지를 알려드리려 하고 특히 저희 <b>핀테크</b>... ,Jenme in the moonlight❤️,blog.naver.com/haun0910,20240523
3,"뉴스] 아니, 이렇게 유용하다고? - <b>핀테크</b> 서비스 &lt;카카오페이&gt; 편.",https://blog.naver.com/koreafintech/223463211369,"<b>핀테크</b>서비스 &lt;카카오페이&gt; 편. 12기 대학생 기자단 김유나 안녕하세요, 한국<b>핀테크</b>지원센터 기자단 12기 김유나입니다. 이번 기사로는 제가 가장 유용하게 쓰고 있는 <b>핀테크</b> 서비스를 자세히! 공유해... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240530
4,<b>핀테크</b> 기업이라면 <b>핀테크</b> 클라우드로 금융 AI까지 해결하세요,https://blog.naver.com/twojobnam/223410453055,"<b>핀테크</b> 기업들도 마찬가지로 클라우드 서비스에 대한 중요성을 알고, 준비를 하고 있는 것이죠.... <b>핀테크</b> 기업이라면 어떤 클라우드를 선택하고 활용하는 것이 도움이 되는지 알려드리고자 합니다. 5년 연속... ",투잡남의 IT리뷰,blog.naver.com/twojobnam,20240409
5,빅테크&amp;<b>핀테크</b> 확산! 발생 가능한 피해 알려드릴게요,https://blog.naver.com/happykdic/223497163440,"빅테크, <b>핀테크</b> 현황과 소비자 보호 방안&gt;에 대해 소개해드리겠습니다! 카카오페이나 네이버페이 써보신 적 있으신가요? 저도 카드나 현금 없이 핸드폰으로 간편결제를 종종 이용합니다. 빅테크, <b>핀테크</b>... ",예금보험공사 블로그,blog.naver.com/happykdic,20240701
6,'코리아 <b>핀테크</b> 위크 2024'에 여러분을 초대합니다! [금융프렌즈],https://blog.naver.com/blogfsc/223509297907,"'코리아 <b>핀테크</b> 위크 2024'에 여러분을 초대합니다! 출근길 지하철, 용돈, 적금, 회비 앱 하나로... #간편결제 #어디서나 #쉽고 #빠르게 이 모든 게 <b>핀테크</b>라는 사실! 알고 계셨나요? 더 다양한 <b>핀테크</b>... ",금융위원회 공식 블로그,blog.naver.com/blogfsc,20240711
7,"빅테크, 헬스테크, <b>핀테크</b>... 테크계의 신흥강자는 누구?... ",https://blog.naver.com/gri_blog/223475530659,"● 테크계의 신흥 강자, 기후 테크 빅테크, 헬스테크, <b>핀테크</b> 등 테크 분야 중 기후 테크가 주목을 받고... ▲ 출처 &gt;&gt; 경기연구원 유튜브 빅테크, 헬스테크, <b>핀테크</b>... 테크계의 신흥강자는 누구?",경기연구원 공식블로그,blog.naver.com/gri_blog,20240611
8,"교육생 모집(AI,보안,개발자,<b>핀테크</b>,클라우드,빅데이터)",https://blog.naver.com/incruit1/223479059446,"(AI,보안,개발자,<b>핀테크</b>,클라우드,빅데이터) 안녕하세요. 취업비서 인크루트 입니다. 오늘은... (AI,보안,개발자,<b>핀테크</b>,클라우드,빅데이터)에 대해서 자세히 안내를 해드리겠습니다. 관심이 있으신... ",인크루트 공식블로그,blog.naver.com/incruit1,20240614
9,[<b>핀테크</b> 용어사전] #분산원장(Distributed Ledger),https://blog.naver.com/konagroup/223521433133,IT기업이 알려주는 <b>핀테크</b> 용어 코나아이와 함께 똑똑해져요! 24년 7월 4주 차 이번 주에 소개할 <b>핀테크</b> 용어는 바로! ‘분산원장(Distributed Ledger)’ 입니다. 분산원장이란? 분산원장은 여러 노드(컴퓨터)에... ,코나아이 공식 블로그,blog.naver.com/konagroup,20240722
0,[기보Talk] 오늘의 키워드 : <b>핀테크</b>(Fintech),https://blog.naver.com/techkibo/223344691886,오늘의 키워드 : <b>핀테크</b>(Fintech) 4차 산업시대를 대표하는 기술 중 하나인 <b>핀테크</b>! 알고 보면 우리 일상 속에 스며들어있는 기술인데요. 오늘은 <b>핀테크</b>에 대해 알아보겠습니다. <b>핀테크</b>(Fintech)란 금융(Finance)과... ,기술보증기금 공식 블로그,blog.naver.com/techkibo,20240205
1,<b>핀테크</b>가 바꾸는 소비문화 | 2024 한경협 싱가포르 <b>핀테크</b>... ,https://blog.naver.com/iloveimier/223517243778,"안녕하세요 [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단] 운영 사무국입니다. 이번 포스팅에서는 <b>핀테크</b>가 바꾸는 소비문화 BNPL 서비스, 그리고 [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단]에 대해 설명해... ",한경협국제경영원(IMI) 블로그,blog.naver.com/iloveimier,20240718
2,<b>핀테크</b> 서비스를 위한 풀스택 개발자 양성과정,https://blog.naver.com/itbank21c/223419667542,"오늘은 국비지원과정(K-Digital Training)중에서도 <b>핀테크</b> 서비스를 위한 풀스택 개발자 양성과정에 대한... 오늘 말씀드릴 <b>핀테크</b> 산업에 대해 말씀드려볼게요. <b>핀테크</b> 산업은 국내, 해외에서 꾸준한 발전을... ",KG에듀원 아이티뱅크,blog.naver.com/itbank21c,20240418
3,<b>핀테크</b> 뜻 의미 기술적 발전 경제 전망,https://blog.naver.com/goldmyth/223493612882,:: Economics :: <b>핀테크</b> 뜻과 의미 기술적 발전과 경제 전망 안녕하십니까. 경제인간입니다. 본 포스팅에서는 &quot;<b>핀테크</b> 뜻 의미 기술적 발전 경제 전망&quot;에 대해 다뤄보겠습니다. 1. <b>핀테크</b> 뜻 2. <b>핀테크</b> 유래 3.... ,경제인간,blog.naver.com/goldmyth,20240627
4,"<b>핀테크</b>의 의미를 설명하고, <b>핀테크</b>가 적용되는 주요... ",https://blog.naver.com/ajsy357/223513171192,"<b>핀테크</b>의 의미를 설명하고, <b>핀테크</b>가 적용되는 주요 금융사업분야의 최신 정보를 정리하시오 <b>핀테크</b>의 의미를 설명하고, <b>핀테크</b>가 적용되는 주요 금융사업분야의 최신 정보를 정리하시오 <b>핀테크</b>의 의미를... ",잘하고싶다,blog.naver.com/ajsy357,20240715
5,[슬기로운 <b>핀테크</b> 생활] # 8편... 포인트도 적립하는 <b>핀테크</b>!,https://blog.naver.com/koreafintech/223509421687,"[슬기로운 <b>핀테크</b> 생활]  #8 - 친환경 그린 앱테크: 환경보호로 포인트도 적립하는 <b>핀테크</b>! 손목닥터 9988 건강과 환경을 연결하는 프로그램으로, 걷기만 해도 *포인트 제공 * 손목닥터 9988 서울페이머니로 제공... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240711
6,서울시 <b>핀테크</b> 허브 역량진단과 발전방향,https://blog.naver.com/seoulinst/223446336566,서울시 디지털금융 발전·<b>핀테크</b> 허브 도약 위해 금융중심지 이점 위 ‘<b>핀테크</b> 허브화’ 전략 세워야 <b>핀테크</b> 성장은 기존 금융중심지와 차별화되는 <b>핀테크</b> 허브의 부상으로 이어질까? <b>핀테크</b>(Fintech)는 금융... ,서울연구원 공식블로그 The Seoul Institute,blog.naver.com/seoulinst,20240514
7,"[신문스크랩] 전자신문 230307           <b>핀테크</b> 업계, 클라우드... ",https://blog.naver.com/ilragi/223375736002,"출처 : 전자신문 240307 2P 정다은 기자 ******@******.*** 2 <b>핀테크</b> 업계, 클라우드 확산···혁신 서비스 가속 2-1 머신러닝·앱뱅킹 등 경쟁 치열 전통금융권을 넘어 <b>핀테크</b> 업계에도 클라우드 전환 움직임이... ",나만의..,blog.naver.com/ilragi,20240307
8,헥토파이낸셜이 「코리아<b>핀테크</b>위크2024」에 참가합니다!,https://blog.naver.com/hectofinancial/223521071600,"금융위원회와 한국<b>핀테크</b>지원센터가 함께하는 <b>핀테크</b>위크2024에 참여하게 되었습니다! 코리아<b>핀테크</b>위크는 대한민국 최대 <b>핀테크</b>업계 대표 박람회로, 2019년부터 올해까지, 무려 6회 차✨를 맞이하는... ",헥토파이낸셜 공식 블로그,blog.naver.com/hectofinancial,20240722
9,[2024년 부산 <b>핀테크</b>허브 입주기업 모집 (~4/11)],https://blog.naver.com/khug_official/223399057161,"2024년 부산 <b>핀테크</b>허브 입주기업 모집 HUG는 다양한 지역발전 사업을 진행하고 있는데요. BEF(부산경제활성화지원기금) 사업, IT인재육성지원 장학금 사업 등과 함께 부산 <b>핀테크</b> 관련 창원기업지원을 하고... ",HUG 주택도시보증공사,blog.naver.com/khug_official,20240329
0,"<b>핀테크</b> 스타트업 스위치원(Switchwon), ‘누구나 무료... ",https://blog.naver.com/monthlypeople/223484658052,"‘누구나 무료 환전’ 수수료 없이 간단하게 세금없는 환차익, 환테크를 쉽고 빠르게 <b>핀테크</b> 스타트업 스위치원(Switchwon)이 최근 환전 서비스를 개편하여 모든 고객에게 100% 환율 우대를 제공한다고... ",월간인물 공식블로그,blog.naver.com/monthlypeople,20240619
1,[<b>핀테크</b>] 금융 소외/ <b>핀테크</b> 산업/ 싱가포르 <b>핀테크</b> 박람회... ,https://blog.naver.com/iloveimier/223445413881,안녕하세요~ [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단] 운영 사무국입니다! 여러분은 '금융 소외... 올해 <b>핀테크</b> 전망에서 가장 중요한 주제가 바로 '글로벌 금융 포용'이라고 합니다. 특히 <b>핀테크</b>... ,한경협국제경영원(IMI) 블로그,blog.naver.com/iloveimier,20240513
2,"[기자단 뉴스] 가정의 달, <b>핀테크</b>와 함께하는 똑똑한 소비 습관",https://blog.naver.com/koreafintech/223489597119,"가정의 달, <b>핀테크</b>와 함께하는 똑똑한 소비 습관 12기 대학생 기자단 박소민 소비하기 딱 좋은 날 5월... 과소비는 이제 그만 한국<b>핀테크</b>지원센터와 현명한 소비를 시작해보아요! 어려운 자산관리 <b>핀테크</b> 어플로... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240624
3,[기자단 뉴스] 2024년 <b>핀테크</b> 큐브 출범식 현장을 살펴보자!,https://blog.naver.com/koreafintech/223453465641,2024년 <b>핀테크</b> 큐브 출범식 현장을 살펴보자! 12기 대학생 기자단 남현영 안녕하세요. 한국<b>핀테크</b>지원센터 대학생 기자단 12기 남현영입니다! 지난 4월 18일 한국<b>핀테크</b>지원센터에서는 2024년 <b>핀테크</b> 큐브... ,한국핀테크지원센터,blog.naver.com/koreafintech,20240521
4,[기자단 뉴스] <b>핀테크</b> 기업 동향 및 <b>핀테크</b> 사업군 소개,https://blog.naver.com/koreafintech/223311231158,"한국<b>핀테크</b>지원센터 11기 대학생 기자단 이은비입니다. 요즘 <b>핀테크</b> 취업에 관심이 올라가고 있는데요, 국내 <b>핀테크</b> 기업의 동향을 소개하고 각 <b>핀테크</b> 사업군의 매력에 대해 소개하려고 해요! 1. 인터넷... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240103
5,[기자단 뉴스] 혁신을 이끄는 한국<b>핀테크</b>지원센터,https://blog.naver.com/koreafintech/223418499667,혁신을 이끄는 한국<b>핀테크</b>지원센터 금융클라우드지원 및 해외진출컨설팅 12기 대학생 기자단 이다은 한국<b>핀테크</b>지원센터의 지원사업 ① 금융혁신지원 플랫폼 ② <b>핀테크</b> 체험 플랫폼 ③ <b>핀테크</b> 투자... ,한국핀테크지원센터,blog.naver.com/koreafintech,20240417
6,<b>핀테크</b>의 새로운 지평! IPO와... 싱가포르 <b>핀테크</b> 박람회... ,https://blog.naver.com/iloveimier/223493387241,"[2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단] 운영 사무국입니다. 이번 포스팅에서는 <b>핀테크</b>의 새로운 지평! IPO와 함께하는 금융 혁신과, [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단]에 대해 설명해... ",한경협국제경영원(IMI) 블로그,blog.naver.com/iloveimier,20240627
7,[한국<b>핀테크</b>지원센터] 금융규제 샌드박스 자주 묻는 질문 FAQ... ,https://blog.naver.com/koreafintech/223492851156,금융규제 샌드박스 자주 묻는 질문 FAQ -혁신금융서비스- 혁신금융서비스 지정 신청서 작성 시 <b>핀테크</b>... [ 금융규제 샌드박스 홈페이지 관련 문의처 ] ▪ (혁신금융서비스 지정 신청 문의) 한국<b>핀테크</b>지원센터... ,한국핀테크지원센터,blog.naver.com/koreafintech,20240627
8,[기자단 뉴스] <b>핀테크</b> 관련 종사자 인터뷰,https://blog.naver.com/koreafintech/223482956118,"<b>핀테크</b> 관련 종사자 인터뷰 12기 대학생 기자단 이서현 안녕하세요, 한국<b>핀테크</b>지원센터 대학생 기자단 12기 이서현입니다! 오늘은 여러분들이 <b>핀테크</b>에 한 발짝 더 가까이 다가가실 수 있도록 돕기 위해, 실제... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240618
